"","Posterior Mean","Lower CI","Upper CI"
"Intercept_1",-0.85952276358901,-1.03509279600882,-0.656447742577059
"age_1",0.0572504279762753,0.0518006626360185,0.0629980481415121
"incomeK_1",0.0597849604007216,0.039211147111886,0.0825197502631886
"incomeL_1",0.00990061907054117,-0.0089085335129177,0.033886501177362
"incomeM_1",0.10122323735955,0.0821396697340374,0.120640484352464
"incomeN_1",0.0600332909989882,0.0438243327604165,0.0779093498281459
"incomeO_1",-0.0152027502489518,-0.0333638998528465,0.0063977357166568
"incomeP_1",0.0323547919819948,0.0136038357706158,0.0539631086137425
"incomeQ_1",0.0796311347157691,0.0540841511273358,0.103083457740964
"incomeR_1",0.000841873864230422,-0.0254481503675265,0.021029602257094
"clust2_1",-0.00304706817633724,-0.520468516708485,0.444977644931354
"clust3_1",-0.0222963366517925,-0.477359652873641,0.434433721273247
"clust4_1",0.161758300884329,-0.319156022969982,0.599330013133791
"clust5_1",-0.196016313734567,-0.92472100258659,0.53763479602732
"clust6_1",-0.198032154066098,-0.575763965272958,0.132655733208474
"clust7_1",0.344724557974464,-0.341787592449483,1.18490022408585
"clust8_1",-0.0837828880666058,-0.682639801781962,0.417012401881131
"clust9_1",0.309851843691761,-0.181040638508752,0.715785231672338
"clust10_1",0.127472454222818,-0.291157359873486,0.617098633053529
"camp_no4_1",0.525356293750471,0.50339338576669,0.550429621496173
"camp_no5_1",0.389262278166213,0.34320082875791,0.430029207809142
"camp_no8_1",0.706606795820659,0.670872845154956,0.747575411749274
"camp_no9_1",-0.454971593732764,-0.488614260929396,-0.423751731564288
"camp_no10_1",-0.723472005281151,-0.756610447855345,-0.686728397878186
"camp_no11_1",-1.09048033559356,-1.12995563318547,-1.05250183746601
"camp_no12_1",-0.546593248296407,-0.594168396447561,-0.49724865824984
"camp_no14_1",-0.603989935430711,-0.639202019202331,-0.57608855031777
"camp_no15_1",-0.588647934111229,-0.652610040900647,-0.537224375317048
"camp_no23_1",-0.70283370557495,-0.74021272644723,-0.667540418856996
"camp_no25_1",-0.697106449562646,-0.736542744980913,-0.661651130065934
"camp_no26_1",-0.0874467587059446,-0.124015716275589,-0.0458196714013096
"camp_no28_1",-1.02312336549717,-1.0622388793838,-0.98288932516764
"camp_no31_1",-1.30442529064093,-1.34609608565292,-1.25792395172697
"camp_no34_1",-0.682379265346207,-0.71565680006765,-0.6449773250563
"camp_no35_1",-0.147862707019533,-0.184776739476217,-0.111240360228163
"camp_no36_1",-0.440580296488196,-0.483874400630068,-0.405336535019138
"camp_no43_1",-0.56566251354773,-0.605222644818655,-0.538791415398513
"camp_no44_1",-0.984462839351448,-1.01495166654399,-0.96113250091262
"camp_no45_1",-0.988904904674205,-1.02018891069567,-0.955747752590149
"camp_no46_1",0.0148791751920086,-0.0216776935017062,0.0466789287524
"camp_no50_1",-0.821322500136471,-0.861681429938318,-0.775682230498301
"camp_no51_1",-0.131123382279927,-0.186851902007201,-0.0915736025415541
"camp_no52_1",0.0143566221663418,-0.023647188423329,0.0494825679410479
"clust2_comp1_1",0.0934337967426302,0.0276874746116301,0.149282194422572
"clust3_comp1_1",-0.0180307921561275,-0.141994828130632,0.099888230125103
"clust4_comp1_1",0.00484507176689325,-0.0735062832825877,0.0911703997173798
