"","x"
"Intercept_1",-0.85952276358901
"age_1",0.0572504279762753
"incomeK_1",0.0597849604007216
"incomeL_1",0.00990061907054117
"incomeM_1",0.10122323735955
"incomeN_1",0.0600332909989882
"incomeO_1",-0.0152027502489518
"incomeP_1",0.0323547919819948
"incomeQ_1",0.0796311347157691
"incomeR_1",0.000841873864230422
"clust2_1",-0.00304706817633724
"clust4_1",0.161758300884329
"clust6_1",-0.198032154066098
"clust8_1",-0.0837828880666058
"clust9_1",0.309851843691761
"clust10_1",0.127472454222818
"camp_no4_1",0.525356293750471
"camp_no5_1",0.389262278166213
"camp_no8_1",0.706606795820659
"camp_no9_1",-0.454971593732764
"camp_no10_1",-0.723472005281151
"camp_no11_1",-1.09048033559356
"camp_no12_1",-0.546593248296407
"camp_no14_1",-0.603989935430711
"camp_no15_1",-0.588647934111229
"camp_no23_1",-0.70283370557495
"camp_no25_1",-0.697106449562646
"camp_no26_1",-0.0874467587059446
"camp_no28_1",-1.02312336549717
"camp_no31_1",-1.30442529064093
"camp_no34_1",-0.682379265346207
"camp_no35_1",-0.147862707019533
"camp_no36_1",-0.440580296488196
"camp_no43_1",-0.56566251354773
"camp_no44_1",-0.984462839351448
"camp_no45_1",-0.988904904674205
"camp_no46_1",0.0148791751920086
"camp_no50_1",-0.821322500136471
"camp_no51_1",-0.131123382279927
"camp_no52_1",0.0143566221663418
"clust2_comp1_1",0.0934337967426302
"clust4_comp1_1",0.00484507176689325
"clust6_comp1_1",0.153521856378486
"clust8_comp1_1",0.115415804117208
"clust9_comp1_1",-0.111356521785075
"clust10_comp1_1",-0.053292102159649
"clust2_comp2_1",0.0551016619222751
"clust4_comp2_1",-0.0138398086413983
"clust6_comp2_1",0.133904401662569
"clust8_comp2_1",0.0798568227593383
"clust9_comp2_1",-0.0878437358172672
"clust10_comp2_1",-0.0447988768581557
"clust2_comp3_1",-0.0708526303535233
"clust4_comp3_1",-0.0618794583845271
"clust6_comp3_1",0.0464354950427875
"clust8_comp3_1",0.060609997016484
"clust9_comp3_1",-0.111069314720711
"clust10_comp3_1",0.0223055625222648
"clust2_comp4_1",-0.0114090347167026
"clust4_comp4_1",-0.0188891763594142
"clust6_comp4_1",0.080733434602906
"clust8_comp4_1",0.180168262739035
"clust9_comp4_1",-0.0940414338403951
"clust10_comp4_1",-0.0452751148750685
"clust2_comp5_1",0.159621675244406
"clust4_comp5_1",0.0315199017020341
"clust6_comp5_1",0.136474203778078
"clust8_comp5_1",0.179680603625207
"clust9_comp5_1",-0.0264520931279587
"clust10_comp5_1",-0.157544176382272
"clust2_comp6_1",0.0877710490363358
"clust4_comp6_1",0.0400600347343093
"clust6_comp6_1",0.107174513591468
"clust8_comp6_1",0.187276433259977
"clust9_comp6_1",-0.0719912232407842
"clust10_comp6_1",-0.157212983874298
"clust2_comp7_1",0.0860894789784203
"clust4_comp7_1",-0.0147247879197143
"clust6_comp7_1",0.145207107407181
"clust8_comp7_1",0.122696555265194
"clust9_comp7_1",-0.0911987194415705
"clust10_comp7_1",-0.0700559890209009
"clust2_comp8_1",0.0490213498467073
"clust4_comp8_1",-0.0126208688423823
"clust6_comp8_1",0.0164024246006383
"clust8_comp8_1",0.0256255955488819
"clust9_comp8_1",0.0176433518172606
"clust10_comp8_1",-0.0226089755288035
"clust2_comp9_1",0.0452622432870893
"clust4_comp9_1",0.0481201953438544
"clust6_comp9_1",-0.0085961890033991
"clust8_comp9_1",-0.0924009876830876
"clust9_comp9_1",0.0590247824783609
"clust10_comp9_1",-0.000255742991315508
"adstock_1",-0.690327567976161
"pur_eng_1",-0.316060286857287
"dyn_eng_1",1.65150425915738
"Intercept_2",-4.22448301946057
"age_2",0.0866677735136361
"incomeK_2",-0.308851350686682
"incomeL_2",0.0154965680494295
"incomeM_2",0.0983986689803556
"incomeN_2",-0.174927973039929
"incomeO_2",-0.0589651118229588
"incomeP_2",0.0065133979305297
"incomeQ_2",0.0825839461262872
"incomeR_2",0.031847857502262
"clust2_2",0.0694788380105
"clust4_2",0.175523882322461
"clust6_2",0.926581530319076
"clust8_2",0.581448391741007
"clust9_2",-0.0155123019019441
"clust10_2",-0.117283946909216
"camp_no4_2",1.19950605964983
"camp_no5_2",0.895980558439043
"camp_no8_2",0.0976532142383716
"camp_no9_2",0.703540666035217
"camp_no10_2",1.21170573389041
"camp_no11_2",0.330568490111681
"camp_no12_2",0.716343742413035
"camp_no14_2",0.660624482853464
"camp_no15_2",1.31382081591938
"camp_no23_2",0.716712477212366
"camp_no25_2",1.07304740245499
"camp_no26_2",0.937127215142413
"camp_no28_2",1.39249559029233
"camp_no31_2",0.179497115598345
"camp_no34_2",0.88799441115072
"camp_no35_2",0.618585719513282
"camp_no36_2",0.586861564674353
"camp_no43_2",-1.24074727569676
"camp_no44_2",1.18457849735685
"camp_no45_2",1.24837679097406
"camp_no46_2",0.820277892848527
"camp_no50_2",0.456446729251351
"camp_no51_2",-2.23500543590554
"camp_no52_2",0.288200471031824
"clust2_comp1_2",-0.144294635728774
"clust4_comp1_2",-0.0349317996212749
"clust6_comp1_2",-0.078103866541559
"clust8_comp1_2",-0.315695928380358
"clust9_comp1_2",-0.131816774640425
"clust10_comp1_2",-0.133528753057457
"clust2_comp2_2",-0.0214457500018604
"clust4_comp2_2",-0.0316125569537056
"clust6_comp2_2",-0.0893431450377993
"clust8_comp2_2",-0.0130633300995564
"clust9_comp2_2",-0.0763132880962846
"clust10_comp2_2",0.0228296023419844
"clust2_comp3_2",-0.182909901004617
"clust4_comp3_2",-0.0917477993738046
"clust6_comp3_2",-0.0285747041977052
"clust8_comp3_2",-0.0695371202921563
"clust9_comp3_2",0.257063590333193
"clust10_comp3_2",-0.0259462789381372
"clust2_comp4_2",0.00811044377059026
"clust4_comp4_2",-0.0222773673477127
"clust6_comp4_2",-0.0870580721436707
"clust8_comp4_2",0.0329333405293772
"clust9_comp4_2",-0.167920251224142
"clust10_comp4_2",-0.139247878990574
"clust2_comp5_2",-0.0756510297489163
"clust4_comp5_2",-0.332235607951192
"clust6_comp5_2",-0.123393548901171
"clust8_comp5_2",-0.13774019026851
"clust9_comp5_2",-0.320106056789465
"clust10_comp5_2",-0.23554198650008
"clust2_comp6_2",0.0461395727164704
"clust4_comp6_2",0.037454639683936
"clust6_comp6_2",-0.0235543403930305
"clust8_comp6_2",-0.250640898510454
"clust9_comp6_2",-0.508313177787518
"clust10_comp6_2",-0.0787279034710903
"clust2_comp7_2",-0.141167431001365
"clust4_comp7_2",-0.191190068960124
"clust6_comp7_2",-0.105614514049346
"clust8_comp7_2",-0.189413647204164
"clust9_comp7_2",-0.334050651582628
"clust10_comp7_2",-0.139726253121121
"clust2_comp8_2",-0.0679589683516922
"clust4_comp8_2",0.0226464276295574
"clust6_comp8_2",-0.118282244363165
"clust8_comp8_2",-0.21746800141351
"clust9_comp8_2",-0.0893064420044249
"clust10_comp8_2",-0.115557058606614
"clust2_comp9_2",0.0949038544479054
"clust4_comp9_2",-0.0700509619410759
"clust6_comp9_2",0.0566972476605952
"clust8_comp9_2",0.0852761025263912
"clust9_comp9_2",-0.285576773960911
"clust10_comp9_2",0.0650549133639719
"adstock_2",0.344702373268563
"pur_eng_2",0.521158262697784
"dyn_eng_2",-0.820447004979581
"clust7_1",-0.0312405826328284
"clust7_comp1_1",-0.0439844159225177
"clust7_comp2_1",-0.0163524323950044
"clust7_comp3_1",-0.0373945149321498
"clust7_comp4_1",0.0244397733284858
"clust7_comp5_1",0.0356285227503805
"clust7_comp6_1",0.0124439406480255
"clust7_comp7_1",-0.021647953046364
"clust7_comp8_1",-0.0152022903880254
"clust7_comp9_1",0.0407374643697724
"clust7_2",-0.798314797774464
"clust7_comp1_2",-0.215000327320357
"clust7_comp2_2",-0.110877781075774
"clust7_comp3_2",-0.913739254177705
"clust7_comp4_2",0.424570535993542
"clust7_comp5_2",-0.0442444542995536
"clust7_comp6_2",1.16945139813962
"clust7_comp7_2",0.257401539348603
"clust7_comp8_2",-0.0280862452964442
"clust7_comp9_2",0.402299370687168
