"","Posterior Mean","Lower CI","Upper CI"
"Intercept_1",-0.720541870604691,-0.795910003263398,-0.643181675822913
"age_1",0.0954694363661018,0.0910908161146926,0.0998763597900194
"incomeK_1",0.238819040392078,0.217783823153663,0.261929630587031
"incomeL_1",0.00897829312781757,-0.00925902165713335,0.029714493904525
"incomeM_1",0.144853955528138,0.127931250015474,0.160809804371144
"incomeN_1",0.0069620281336142,-0.00867545335164539,0.0233542464406708
"incomeO_1",0.0327741580093997,0.0157205140626906,0.0515453027139731
"incomeP_1",0.081647930512908,0.0672400003165362,0.0984964898903535
"incomeQ_1",0.0800354169280864,0.0502127245906015,0.104504973996867
"incomeR_1",0.138306920664933,0.120776327759662,0.159727534272174
"clust2_1",0.108790184825782,-0.00816852843903927,0.216524994071467
"clust3_1",-0.247255522346534,-0.312812763392554,-0.176815188221804
"clust4_1",-0.0805837048681208,-0.167844695764755,0.0406357117573189
"clust5_1",-0.456113258145879,-0.562834443254602,-0.365765131668474
"clust2_comp1_1",-0.241088520481679,-0.29553075308153,-0.195689232986758
"clust3_comp1_1",-0.215674539363487,-0.253019096577435,-0.187077530214751
"clust4_comp1_1",-0.177338725588478,-0.205885015915673,-0.145509797484938
"clust5_comp1_1",-0.22455420028316,-0.306032104940061,-0.159165322804464
"clust2_comp2_1",-0.029513325971615,-0.0709181692629726,0.016318686232613
"clust3_comp2_1",0.0237154754748532,-0.00738271755191681,0.051374839238616
"clust4_comp2_1",0.0564497619793439,0.0268793925312211,0.0820240165618005
"clust5_comp2_1",-0.0170979769726462,-0.0875903086824049,0.047779351849455
"clust2_comp3_1",0.052460694578202,0.0157543334902678,0.0919186551966469
"clust3_comp3_1",0.0472959383062472,0.021975948744662,0.0738555803704099
"clust4_comp3_1",0.0373144203534659,0.0154174517801205,0.0558941270372195
"clust5_comp3_1",0.0711588096498438,0.0119365808535923,0.124572548284675
"clust2_comp4_1",0.129222716910605,0.0994437982990957,0.17053915764944
"clust3_comp4_1",0.191670768430092,0.164059094481419,0.220323548706648
"clust4_comp4_1",0.210671395204094,0.193072635003848,0.228849189728759
"clust5_comp4_1",0.201701162898048,0.151990836578643,0.255179140424163
"clust2_comp5_1",0.390095297399381,0.309811617531167,0.479207932123249
"clust3_comp5_1",0.38234905373171,0.3325846836934,0.428659706524377
"clust4_comp5_1",0.506781373799637,0.472090776075265,0.544194062538073
"clust5_comp5_1",0.372637059939805,0.283604550736665,0.459643892255635
"clust2_comp6_1",-0.12628273002773,-0.196081303177192,-0.0513259643318553
"clust3_comp6_1",-0.05194453798441,-0.102705774096105,-0.0107186941484037
"clust4_comp6_1",0.00638937087809663,-0.02912795437568,0.0389839382789598
"clust5_comp6_1",-0.145395111203012,-0.244646626844182,-0.054185461484568
"clust2_comp7_1",-0.0914977896825414,-0.14502596931048,-0.0276584194676371
"clust3_comp7_1",0.00895983415237799,-0.0353690513393364,0.0397167762111218
"clust4_comp7_1",0.0473808265263045,0.0133845425848629,0.0779064555332531
"clust5_comp7_1",-0.0244732172779027,-0.113850499344195,0.0441014134446921
"clust2_comp8_1",0.0605730249891892,0.0144726484579773,0.0958503315986626
"clust3_comp8_1",0.0831783953817271,0.064981926865859,0.103950127690098
